"","Gene1","Gene2","corA","corA_pVal","corB","corB_pVal","zScoreDiff","pValDiff","pValDiff_adj","Classes"
"1","KIF20A","TACC3",0.925556791919736,0,0.595123263501937,4.21356283197838e-11,-5.23345449423588,1.66370979739005e-07,0.0137290830113308,"+/+"
"2","CCNA2","TACC3",0.897532567281572,0,0.490816226629042,1.63057598090433e-07,-5.12967677623468,2.90240100499674e-07,0.0137290830113308,"+/+"
"3","LBR","LOC730101",-0.0623779531143472,0.673619322808578,0.689978158537795,8.88178419700125e-16,5.06363077858274,4.11345967501522e-07,0.0137290830113308,"0/+"
"4","FAM83D","TACC3",0.880720667305738,0,0.451916471472718,1.86186444794956e-06,-4.9606866556326,7.02444256206565e-07,0.0138804941004777,"+/+"
"5","ITPR1","POLR3D",0.457191069472627,0.00108763435662795,-0.364698987020481,0.000164203409427133,-4.87271716016745,1.10073756739888e-06,0.0138804941004777,"+/-"
"6","PLK1","TACC3",0.879151416374614,2.22044604925031e-16,0.460954450319083,1.08574489421365e-06,-4.85851487861453,1.18269522628925e-06,0.0138804941004777,"+/+"
"7","SPC25","TACC3",0.854770348589474,1.06581410364015e-14,0.381125897622533,7.75056505586402e-05,-4.85143812899327,1.22569447251262e-06,0.0138804941004777,"+/+"
"8","EFR3A","REEP5",-0.0243599910006306,0.869458368071921,0.688154046928283,1.33226762955019e-15,4.83242615923529,1.34879145564998e-06,0.0138804941004777,"0/+"
"9","NCAPG","TACC3",0.901395138790904,0,0.5490051235094,2.30743180118509e-09,-4.79821677430439,1.60084471320251e-06,0.0138804941004777,"+/+"
"10","TACC3","TPX2",0.921381455818755,0,0.626492292794362,1.88427051739382e-12,-4.79721363049693,1.60887984516786e-06,0.0138804941004777,"+/+"
"11","HMGB2","IQGAP2",0.682675851239263,9.0518286199881e-08,-0.0279045725726229,0.780702826691746,-4.79468470128857,1.62930887341232e-06,0.0138804941004777,"+/0"
"12","ITPR1","PTK7",0.364055537827211,0.0109679499150723,-0.446017384569442,2.62570695963582e-06,-4.79051595120175,1.663529973691e-06,0.0138804941004777,"+/-"
"13","CENPA","TACC3",0.885319415693679,0,0.503241941131608,7.01451181583934e-08,-4.70676144371011,2.51683142331067e-06,0.0193850228271731,"+/+"
"14","DCAF6","OPTN",-0.160314587755408,0.276386195444562,0.592388738679191,5.4382276459819e-11,4.68915770088548,2.74331914270392e-06,0.0196202185086184,"0/+"
"15","GTSE1","TACC3",0.883647522487028,0,0.505358574801127,6.05523027275012e-08,-4.64825406274568,3.34756440041358e-06,0.0223456618856408,"+/+"
"16","FAM83D","KIF20A",0.931091614642859,0,0.685761173331298,1.77635683940025e-15,-4.59779369360244,4.26988486432013e-06,0.024808477531526,"+/+"
